"","EH_ID","Strain","HybridStatus","primary","challenge","labels","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","infHistory","Caecum","delta","CXCR3","IRG6","IL.12"
"16","LM_0228","STRA_BUSNA","inter subsp. hybrids","E88","E64","E7aFHT",1,23.4,21.23,110.22,1.28,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"17","LM_0228","STRA_BUSNA","inter subsp. hybrids","E88","E64","E7aLMZ",6,22.29,21.23,104.99,1.05,74,92,97,87,87.5,833333.333333333,NA,1,875000,"E88:E64",NA,NA,NA,NA,NA
"18","LM_0228","STRA_BUSNA","inter subsp. hybrids","E88","E64","E7aNSX",7,22.92,21.23,107.96,1.18,66,63,62,70,65.25,552966.101694915,NA,1,652500,"E88:E64",NA,NA,NA,NA,NA
"19","LM_0229","SCHUNT_SCHUNT","parental strains","E88","E88","E7aABG",1,18.38,19.06,96.43,1.63,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"20","LM_0229","SCHUNT_SCHUNT","parental strains","E88","E88","E7aAIO",3,18.85,19.06,98.9,2.07,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"21","LM_0229","SCHUNT_SCHUNT","parental strains","E88","E88","E7aBIO",2,18.88,19.06,99.06,1.23,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"22","LM_0229","SCHUNT_SCHUNT","parental strains","E88","E88","E7aCNT",5,19.88,19.06,104.3,3.34,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"23","LM_0229","SCHUNT_SCHUNT","parental strains","E88","E88","E7aDKR",0,19.06,19.06,100,1.4,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"24","LM_0229","SCHUNT_SCHUNT","parental strains","E88","E88","E7aEMW",8,19.01,19.06,99.74,2.36,0,0,0,0,0,0,NA,1,0,"E88:E88","neg",-7.12,-7.4325,-3.1225,-4.6475
"25","LM_0229","SCHUNT_SCHUNT","parental strains","E88","E88","E7aFHK",6,19.55,19.06,102.57,1.48,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"26","LM_0229","SCHUNT_SCHUNT","parental strains","E88","E88","E7aLUV",4,18.78,19.06,98.53,2.35,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"27","LM_0229","SCHUNT_SCHUNT","parental strains","E88","E88","E7aNTU",7,18.67,19.06,97.95,1.98,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"28","LM_0231","PWD_SCHUNT","inter subsp. hybrids","E88","E64","E7aANS",2,22.57,20.69,109.09,1.4,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"29","LM_0231","PWD_SCHUNT","inter subsp. hybrids","E88","E64","E7aBCE",4,21.45,20.69,103.67,2.39,2,3,3,6,3.5,14644.3514644351,NA,1,35000,"E88:E64",NA,NA,NA,NA,NA
"30","LM_0231","PWD_SCHUNT","inter subsp. hybrids","E88","E64","E7aBMW",3,22,20.69,106.33,2.09,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"31","LM_0231","PWD_SCHUNT","inter subsp. hybrids","E88","E64","E7aBOY",0,20.69,20.69,100,2.11,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"32","LM_0231","PWD_SCHUNT","inter subsp. hybrids","E88","E64","E7aCEK",8,20.43,20.69,98.74,2.81,13,15,16,16,15,53380.7829181495,NA,1,150000,"E88:E64","pos",-5.16,-9.3825,-4.3125,-6.8575
"33","LM_0231","PWD_SCHUNT","inter subsp. hybrids","E88","E64","E7aCIK",1,21.41,20.69,103.48,1.13,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"34","LM_0231","PWD_SCHUNT","inter subsp. hybrids","E88","E64","E7aCOV",5,20.95,20.69,101.26,1.53,144,134,117,108,125.75,821895.424836601,NA,1,1257500,"E88:E64",NA,NA,NA,NA,NA
"35","LM_0231","PWD_SCHUNT","inter subsp. hybrids","E88","E64","E7aGJT",6,20.52,20.69,99.18,0.95,21,21,20,17,19.75,207894.736842105,NA,1,197500,"E88:E64",NA,NA,NA,NA,NA
"36","LM_0231","PWD_SCHUNT","inter subsp. hybrids","E88","E64","E7aJRZ",7,20.66,20.69,99.86,1.53,93,74,106,129,100.5,656862.745098039,NA,1,1005000,"E88:E64",NA,NA,NA,NA,NA
"37","LM_0232","BUSNA_STRA","inter subsp. hybrids","E88","E88","E7aAGP",2,27.32,26.37,103.6,1.21,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"38","LM_0232","BUSNA_STRA","inter subsp. hybrids","E88","E88","E7aBFJ",4,26.65,26.37,101.06,1.92,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"39","LM_0232","BUSNA_STRA","inter subsp. hybrids","E88","E88","E7aCUY",8,26.98,26.37,102.31,2.15,0,0,0,0,0,0,NA,1,0,"E88:E88","pos",-6.22,-10.55,-3.01,-5.435
"40","LM_0232","BUSNA_STRA","inter subsp. hybrids","E88","E88","E7aDIW",0,26.37,26.37,100,1.1,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"41","LM_0232","BUSNA_STRA","inter subsp. hybrids","E88","E88","E7aFGH",7,27.02,26.37,102.46,1.67,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"42","LM_0232","BUSNA_STRA","inter subsp. hybrids","E88","E88","E7aGHN",5,27.26,26.37,103.38,2.07,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"43","LM_0232","BUSNA_STRA","inter subsp. hybrids","E88","E88","E7aGIU",3,27,26.37,102.39,1.35,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"44","LM_0232","BUSNA_STRA","inter subsp. hybrids","E88","E88","E7aHNS",1,27.09,26.37,102.73,2.18,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"45","LM_0232","BUSNA_STRA","inter subsp. hybrids","E88","E88","E7aNPW",6,26.56,26.37,100.72,1.11,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"46","LM_0233","STRA_STRA","parental strains","E88","E88","E7aDQW",2,30.76,29.77,103.33,1.21,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"47","LM_0233","STRA_STRA","parental strains","E88","E88","E7aDUZ",0,29.77,29.77,100,2.85,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"48","LM_0233","STRA_STRA","parental strains","E88","E88","E7aERY",3,30.71,29.77,103.16,1.66,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"49","LM_0233","STRA_STRA","parental strains","E88","E88","E7aFKW",1,29.75,29.77,99.93,1.92,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"50","LM_0233","STRA_STRA","parental strains","E88","E88","E7aFPQ",5,31.52,29.77,105.88,2.16,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"51","LM_0233","STRA_STRA","parental strains","E88","E88","E7aGSV",6,30.61,29.77,102.82,1.19,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"52","LM_0233","STRA_STRA","parental strains","E88","E88","E7aIMQ",7,31.24,29.77,104.94,1.51,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"53","LM_0233","STRA_STRA","parental strains","E88","E88","E7aIMR",4,31.02,29.77,104.2,3.05,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"54","LM_0233","STRA_STRA","parental strains","E88","E88","E7aSTU",8,29.96,29.77,100.64,1.75,0,0,0,0,0,0,NA,1,0,"E88:E88","neg",-5.97,-11.1725,NA,-6.1225
"55","LM_0234","STRA_STRA","parental strains","E88","E64","E7aAEJ",5,32.15,32.76,98.14,2.29,82,91,98,102,93.25,407205.240174673,NA,1,932500,"E88:E64",NA,NA,NA,NA,NA
"56","LM_0234","STRA_STRA","parental strains","E88","E64","E7aAGX",6,32.61,32.76,99.54,1.35,90,111,114,108,105.75,783333.333333333,NA,1,1057500,"E88:E64",NA,NA,NA,NA,NA
"57","LM_0234","STRA_STRA","parental strains","E88","E64","E7aAHU",7,33.04,32.76,100.85,1.71,64,68,72,67,67.75,396198.830409357,NA,1,677500,"E88:E64",NA,NA,NA,NA,NA
"58","LM_0234","STRA_STRA","parental strains","E88","E64","E7aBLW",8,32.64,32.76,99.63,1.63,4,10,7,6,6.75,41411.0429447853,NA,1,67500,"E88:E64","pos",-7.89,NA,NA,NA
"59","LM_0234","STRA_STRA","parental strains","E88","E64","E7aCET",4,33.03,32.76,100.82,2.3,0,1,0,0,0.25,1086.95652173913,NA,1,2500,"E88:E64",NA,NA,NA,NA,NA
"60","LM_0234","STRA_STRA","parental strains","E88","E64","E7aEKV",3,33,32.76,100.73,1.46,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"61","LM_0234","STRA_STRA","parental strains","E88","E64","E7aGHS",1,32.07,32.76,97.89,1.93,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"62","LM_0234","STRA_STRA","parental strains","E88","E64","E7aJMZ",2,32.68,32.76,99.76,1.26,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"63","LM_0234","STRA_STRA","parental strains","E88","E64","E7aJPX",0,32.76,32.76,100,1.36,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"64","LM_0235","STRA_SCHUNT","outbred hybrids","E88","E64","E7aAQY",7,19.43,19.58,99.23,1.16,12,28,23,20,20.75,178879.310344828,NA,1,207500,"E88:E64",NA,NA,NA,NA,NA
"65","LM_0235","STRA_SCHUNT","outbred hybrids","E88","E64","E7aCEO",6,19.5,19.58,99.59,0.95,5,3,6,6,5,52631.5789473684,NA,1,50000,"E88:E64",NA,NA,NA,NA,NA
"66","LM_0235","STRA_SCHUNT","outbred hybrids","E88","E64","E7aDHL",4,19.17,19.58,97.91,1.9,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"67","LM_0235","STRA_SCHUNT","outbred hybrids","E88","E64","E7aDTU",8,19.51,19.58,99.64,0.95,1,0,1,0,0.5,5263.15789473684,NA,1,5000,"E88:E64","pos",-5.84,-8.6925,-3.0275,-5.5975
"68","LM_0235","STRA_SCHUNT","outbred hybrids","E88","E64","E7aEFL",5,19.81,19.58,101.17,1.49,22,47,31,51,37.75,253355.704697987,NA,1,377500,"E88:E64",NA,NA,NA,NA,NA
"69","LM_0235","STRA_SCHUNT","outbred hybrids","E88","E64","E7aEHM",2,19.35,19.58,98.83,1.11,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"70","LM_0235","STRA_SCHUNT","outbred hybrids","E88","E64","E7aFJS",0,19.58,19.58,100,0.99,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"71","LM_0235","STRA_SCHUNT","outbred hybrids","E88","E64","E7aHKM",1,19.41,19.58,99.13,0.86,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"72","LM_0235","STRA_SCHUNT","outbred hybrids","E88","E64","E7aQUZ",3,19.13,19.58,97.7,1.12,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"73","LM_0236","STRA_STRA","parental strains","E88","E64","E7aADG",3,27.45,26.25,104.57,2.11,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"74","LM_0236","STRA_STRA","parental strains","E88","E64","E7aAGN",0,26.25,26.25,100,1.21,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"75","LM_0236","STRA_STRA","parental strains","E88","E64","E7aBHI",4,26.94,26.25,102.63,2.32,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"76","LM_0236","STRA_STRA","parental strains","E88","E64","E7aEQV",5,25.72,26.25,97.98,1.96,47,29,38,27,35.25,179846.93877551,NA,1,352500,"E88:E64",NA,NA,NA,NA,NA
"77","LM_0236","STRA_STRA","parental strains","E88","E64","E7aFRU",8,27.05,26.25,103.05,2.33,8,4,11,8,7.75,33261.8025751073,NA,1,77500,"E88:E64","pos",-6.02,NA,NA,NA
"78","LM_0236","STRA_STRA","parental strains","E88","E64","E7aHKN",6,27.05,26.25,103.05,1.4,77,93,87,60,79.25,566071.428571429,NA,1,792500,"E88:E64",NA,NA,NA,NA,NA
"79","LM_0236","STRA_STRA","parental strains","E88","E64","E7aNRU",7,28.03,26.25,106.78,1.42,54,61,71,55,60.25,424295.774647887,NA,1,602500,"E88:E64",NA,NA,NA,NA,NA
"80","LM_0236","STRA_STRA","parental strains","E88","E64","E7aPRV",2,26.92,26.25,102.55,1.15,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"81","LM_0236","STRA_STRA","parental strains","E88","E64","E7aTXZ",1,23.35,26.25,88.95,1.7,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"82","LM_0238","PWD_BUSNA","outbred hybrids","E88","E64","E7aEWY",6,20.47,21.39,95.7,0.47,2,2,4,2,2.5,53191.4893617021,NA,1,25000,"E88:E64",NA,NA,NA,NA,NA
"83","LM_0238","PWD_BUSNA","outbred hybrids","E88","E64","E7aGIQ",1,21.56,21.39,100.79,1.58,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"84","LM_0238","PWD_BUSNA","outbred hybrids","E88","E64","E7aGMW",2,22.14,21.39,103.51,1.36,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"85","LM_0238","PWD_BUSNA","outbred hybrids","E88","E64","E7aILM",0,27.39,27.39,100,3.28,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"86","LM_0238","PWD_BUSNA","outbred hybrids","E88","E64","E7aINU",4,21.13,21.39,98.78,1.32,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"87","LM_0238","PWD_BUSNA","outbred hybrids","E88","E64","E7aKST",5,20.84,21.39,97.43,0.82,49,36,45,45,43.75,533536.585365854,NA,1,437500,"E88:E64",NA,NA,NA,NA,NA
"88","LM_0238","PWD_BUSNA","outbred hybrids","E88","E64","E7aKUZ",3,21.42,21.39,100.14,1.46,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"89","LM_0238","PWD_BUSNA","outbred hybrids","E88","E64","E7aLYZ",8,20.41,21.39,95.42,1.38,22,23,22,20,21.75,157608.695652174,NA,1,217500,"E88:E64","pos",-4.42,-10.3425,-4.3375,-6.3925
"90","LM_0238","PWD_BUSNA","outbred hybrids","E88","E64","E7aNOY",7,20.09,21.39,93.92,0.79,19,22,24,15,20,253164.556962025,NA,1,2e+05,"E88:E64",NA,NA,NA,NA,NA
"91","LM_0239","SCHUNT_SCHUNT","parental strains","E88","E88","E7aEFQ",3,19.33,19.41,99.59,1.99,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"92","LM_0239","SCHUNT_SCHUNT","parental strains","E88","E88","E7aEIQ",0,19.41,19.41,100,1.94,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"93","LM_0239","SCHUNT_SCHUNT","parental strains","E88","E88","E7aGVW",1,19.84,19.41,102.22,1.82,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"94","LM_0239","SCHUNT_SCHUNT","parental strains","E88","E88","E7aHPY",2,19.56,19.41,100.77,1.14,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"95","LM_0239","SCHUNT_SCHUNT","parental strains","E88","E88","E7aIQW",6,18.8,19.41,96.86,3.15,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"96","LM_0239","SCHUNT_SCHUNT","parental strains","E88","E88","E7aJMR",8,18.47,19.41,95.16,2.87,0,0,0,0,0,0,NA,1,0,"E88:E88","pos",-6.76,NA,NA,NA
"97","LM_0239","SCHUNT_SCHUNT","parental strains","E88","E88","E7aKMO",4,19.28,19.41,99.33,3.74,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"98","LM_0239","SCHUNT_SCHUNT","parental strains","E88","E88","E7aLOT",7,19.04,19.41,98.09,1.84,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"99","LM_0239","SCHUNT_SCHUNT","parental strains","E88","E88","E7aMOX",5,19.6,19.41,100.98,2.81,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"100","LM_0240","SCHUNT_PWD","inter subsp. hybrids","E88","E64","E7aACZ",2,21.09,20.45,103.13,1.56,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"101","LM_0240","SCHUNT_PWD","inter subsp. hybrids","E88","E64","E7aAVW",7,22.16,20.45,108.36,1.04,7,3,11,6,6.75,64903.8461538461,NA,1,67500,"E88:E64",NA,NA,NA,NA,NA
"102","LM_0240","SCHUNT_PWD","inter subsp. hybrids","E88","E64","E7aBDI",1,20.89,20.45,102.15,2.3,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"103","LM_0240","SCHUNT_PWD","inter subsp. hybrids","E88","E64","E7aCIW",8,20.45,20.45,100,1.39,0,0,0,1,0.25,1798.56115107914,NA,1,2500,"E88:E64","pos",-6.65,-8.47,-2.455,-5.66
"104","LM_0240","SCHUNT_PWD","inter subsp. hybrids","E88","E64","E7aEKX",3,21.24,20.45,103.86,1.6,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"105","LM_0240","SCHUNT_PWD","inter subsp. hybrids","E88","E64","E7aHKW",0,20.45,20.45,100,1.03,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"106","LM_0240","SCHUNT_PWD","inter subsp. hybrids","E88","E64","E7aJKX",6,21.6,20.45,105.62,1.89,19,24,26,58,31.75,167989.417989418,NA,1,317500,"E88:E64",NA,NA,NA,NA,NA
"107","LM_0240","SCHUNT_PWD","inter subsp. hybrids","E88","E64","E7aKMQ",4,21.14,20.45,103.37,2.41,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"108","LM_0240","SCHUNT_PWD","inter subsp. hybrids","E88","E64","E7aMQW",5,21.48,20.45,105.04,1.53,4,6,10,5,6.25,40849.6732026144,NA,1,62500,"E88:E64",NA,NA,NA,NA,NA
"109","LM_0247","STRA_SCHUNT","outbred hybrids","E88","E88","E7aABO",6,26.18,27.13,96.5,2.61,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"110","LM_0247","STRA_SCHUNT","outbred hybrids","E88","E88","E7aBKM",3,26.04,27.13,95.98,2.77,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"111","LM_0247","STRA_SCHUNT","outbred hybrids","E88","E88","E7aBVZ",0,27.13,27.13,100,3.22,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"112","LM_0247","STRA_SCHUNT","outbred hybrids","E88","E88","E7aCGT",5,26.78,27.13,98.71,2.86,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"113","LM_0247","STRA_SCHUNT","outbred hybrids","E88","E88","E7aFHS",2,26.45,27.13,97.49,1.73,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"114","LM_0247","STRA_SCHUNT","outbred hybrids","E88","E88","E7aFPV",7,26.75,27.13,98.6,2.88,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"115","LM_0247","STRA_SCHUNT","outbred hybrids","E88","E88","E7aGOV",4,26.54,27.13,97.83,3.97,3,0,0,2,1.25,3148.61460957179,NA,1,12500,"E88:E88",NA,NA,NA,NA,NA
"116","LM_0247","STRA_SCHUNT","outbred hybrids","E88","E88","E7aHOY",1,26.69,27.13,98.38,3.74,0,0,0,0,0,0,NA,1,0,"E88:E88",NA,NA,NA,NA,NA
"117","LM_0247","STRA_SCHUNT","outbred hybrids","E88","E88","E7aJMX",8,25.93,27.13,95.58,7.14,0,1,0,0,0.25,350.140056022409,NA,1,2500,"E88:E88","pos",-4.68,-11.1375,-3.9525,-6.0825
"118","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aAFN",1,23.14,23.46,98.64,0.92,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"119","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aAFY",0,23.46,23.46,100,0.67,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"120","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aAMX",5,22.23,23.46,94.76,2.06,64,58,60,62,61,296116.504854369,NA,1,610000,"E88:E64",NA,NA,NA,NA,NA
"121","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aAPS",8,20.58,23.46,87.72,2.5,0,2,0,2,1,4000,NA,1,10000,"E88:E64","pos",-6.92,NA,NA,NA
"122","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aAQW",4,21.73,23.46,92.63,2.33,1,2,0,2,1.25,5364.80686695279,NA,1,12500,"E88:E64",NA,NA,NA,NA,NA
"123","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aFJR",2,22.28,23.46,94.97,1,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"124","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aFQX",6,20.95,23.46,89.3,1.74,122,97,146,144,127.25,731321.83908046,NA,1,1272500,"E88:E64",NA,NA,NA,NA,NA
"125","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aKOX",7,21.72,23.46,92.58,1.32,15,16,13,21,16.25,123106.060606061,NA,1,162500,"E88:E64",NA,NA,NA,NA,NA
"126","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aQTX",3,22.06,23.46,94.03,1.57,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"127","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aANV",6,23.77,26.1,91.07,1.3,27,39,39,43,37,284615.384615385,NA,1,370000,"E88:E64",NA,NA,NA,NA,NA
"128","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aASZ",0,26.1,26.1,100,0.74,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"129","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aCLV",7,24.55,26.1,94.06,1.12,8,10,6,5,7.25,64732.1428571428,NA,1,72500,"E88:E64",NA,NA,NA,NA,NA
"130","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aFMR",2,26.2,26.1,100.38,1.15,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"131","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aGWZ",5,24.36,26.1,93.33,1.7,20,23,36,32,27.75,163235.294117647,NA,1,277500,"E88:E64",NA,NA,NA,NA,NA
"132","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aIMU",1,26.09,26.1,99.96,1.62,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
"133","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aLNU",3,25.92,26.1,99.31,1.86,0,0,0,0,0,0,NA,1,0,"E88:E64",NA,NA,NA,NA,NA
