"-80 contents Mol para. Tower order from left to right, resetting to left at the end of row.",,,
1.0.0,Blue_80,0.1.0,Top_left_tower
1.4.5,NA,2.4.5,Microbiome fecal samples 2a+2b
1.4.6,NA,2.4.6,"Microbiome fecal samples 1a, 1b, dpi 2"
1.4.7,NA,2.4.7,Microbiome fecal samples ???
1.4.8,NA,2.4.8,"Microbiome fecal samples 1a, 1b, dpi 7"
1.4.9,NA,2.4.9,"Microbiome fecal samples 1a, 1b, dpi 0"
1.4.10,NA,2.4.10,"Microbiome fecal samples 1a, 1b, dpi 0"
1.4.11,NA,2.4.11,"Microbiome fecal samples 1b dpi 4, 1a dpi 6, 1b dpi 5"
1.4.12,NA,2.4.12,"Microbiome fecal samples 1a7, 1b6"
1.5.1,Mus RNA Enas Int CC,2.5.1,"E5 2a dpi 1,2"
1.5.2,"RNA CEWE, ILWE, MLN 2015",2.5.2,"E5 1b dpi 0,1,2"
1.5.3,NA,2.5.3,"E5 1b dpi 3,4,5"
1.5.4,NA,2.5.4,"E5 1a dpi 3,4,5"
1.5.5,NA,2.5.5,"E5 1a dpi 0,1,2"
1.5.6,NA,2.5.6,"E5 1a Abs dpi 0,11"
1.5.7,NA,2.5.7,"E5 1b Abs dpi 0,10"
1.5.8,NA,2.5.8,"E5 1a dpi 6,7,8"
1.5.9,NA,2.5.9,"E5 1b dpi 6,7,8"
1.5.10,NA,2.5.10,E5 2b Abs + cyt dpi 0
1.5.11,NA,2.5.11,E5 2a Abs + cyt dpi 0
1.5.12,NA,2.5.12,"E5 1b dpi 9,10"
1.6.1,NA,2.6.1,NA
1.6.2,NA,2.6.2,Tissue for DNA extraction SK
1.6.3,NA,2.6.3,NA
1.6.4,NA,2.6.4,Enas colon infection experiment
1.6.5,NA,2.6.5,Enas small intestine experiment
1.6.6,NA,2.6.6,Enas spleen intestine experiment
1.6.7,NA,2.6.7,Enas digestive content experiment
1.6.8,NA,2.6.8,Enas caecum experiment
1.6.9,NA,2.6.9,HZ19 SPL2
1.6.10,NA,2.6.10,HZ19 COWE
1.6.11,NA,2.6.11,HZ19 FEC
1.6.12,NA,2.6.12,HZ19 MES
1.7.1,NA,2.7.1,NA
1.7.2,NA,2.7.2,NA
1.7.3,NA,2.7.3,NA
1.7.4,NA,2.7.4,NA
1.7.5,NA,2.7.5,NA
1.7.6,NA,2.7.6,NA
1.7.7,NA,2.7.7,NA
1.7.8,NA,2.7.8,NA
1.7.9,NA,2.7.9,NA
1.7.10,NA,2.7.10,NA
1.7.11,NA,2.7.11,NA
1.7.12,NA,2.7.12,NA
1.8.1,CEWE 0524-0604,2.8.1,HZ17 CECE 3/3
1.8.2,CEWE 0605-0685,2.8.2,HZ17 CECE 2/3
1.8.3,HZ18 CEWE RNA,2.8.3,HZ17 CECE 1/3
1.8.4,HZ19 COCE,2.8.4,HZ17 SPL 3/3
1.8.5,HZ19 CEWE,2.8.5,HZ17 SPL 2/3
1.8.6,"HZ19 CEWE, CECE, MES",2.8.6,HZ17 SPL 1/3
1.8.7,"HZ19 SICE, ILWE",2.8.7,HZ17 CEWE 3/3
1.8.8,???,2.8.8,HZ17 CEWE 2/3
1.8.9,SPL2 AA_0524-0604,2.8.9,HZ17 CEWE 1/3
1.8.10,SPL2 AA_0605-0685,2.8.10,HZ17 ILWE 1/3
1.8.11,MES AA_0524-0605,2.8.11,HZ17 ILWE 2/3
1.8.12,MES AA_0605-0685,2.8.12,HZ17 ILWE 3/3
1.9.1,NA,2.9.1,HZ14 DNA SK2905-2935 7/7
1.9.2,NA,2.9.2,HZ14 DNA SK2828-2850 6/7
1.9.3,NA,2.9.3,HZ14 DNA SK2793-2826 5/7
1.9.4,NA,2.9.4,HZ14 DNA SK2756-2792 4/7
1.9.5,NA,2.9.5,HZ14 DNA SK2720-2755 3/7
1.9.6,NA,2.9.6,E6 2a dpi 11
1.9.7,NA,2.9.7,E6 2b dpi 8
1.9.8,NA,2.9.8,E6 2a dpi 8
1.9.9,NA,2.9.9,E6 2b dpi 6
1.9.10,NA,2.9.10,"E6 2a dpi 5, 2b dpi 4"
1.9.11,NA,2.9.11,E6 July cytokines_feces
1.9.12,NA,2.9.12,"E6 2b dpi 9,10,11"
1.10.1,NA,2.10.1,E8 NMRI inf. 01/19 qPCR Victor
1.10.2,NA,2.10.2,HZ14 DNA SK2651-2685 1/7
1.10.3,NA,2.10.3,HZ14 DNA SK2686-2749 2/7
1.10.4,NA,2.10.4,"HZ17_mini CECE, MES, ILWE"
1.10.5,NA,2.10.5,"HZ17_mini COWE, CEWE, SPL"
1.10.6,NA,2.10.6,"Sep Trip leftowers Embryo, CECE, ILWE, COWE, SPL"
1.10.7,NA,2.10.7,HZ17_mini all samples 516-521
1.10.8,NA,2.10.8,SICE mini trip
1.10.9,NA,2.10.9,lidless box AA_~0200
1.10.10,NA,2.10.10,qPCR 50ng Ce 323-412
1.10.11,Susana Ferreira P3 FEC + innoculum,2.10.11,qPCR 50ng Ce 413-523
1.10.12,NA,2.10.12,FEC Emanuel + Enas 10-2015
1.11.1,"ILDIKO Exp_13/6/13 SPL, ILEUM",2.11.1,HZ16 CEWE 47-140
1.11.2,HZ15 SK3190-3213 COWE,2.11.2,HZ16 CEWE 141-211
1.11.3,HZ15 SK3091-3189 COWE,2.11.3,HZ16 ILWE 47-140
1.11.4,HZ15 SK3091-3189 CEWE,2.11.4,HZ16 SICE 147-246
1.11.5,HZ15 SK3190-3213 ILWE,2.11.5,HZ16 CECE 47-146
1.11.6,HZ15 SK3090-3189 ILWE,2.11.6,HZ16 CECE 147-226
1.11.7,HZ15 SK3190-3213 CEWE,2.11.7,HZ16 COWE 47-146
1.11.8,HZ16 SPL2,2.11.8,HZ16 COWE 147-211
1.11.9,HZ16 ILWE,2.11.9,HZ16 ILWE illegible
1.11.10,HZ16 MES,2.11.10,HZ16 SICE 47-138
1.11.11,"E1 dpi 3,5,7,9,11 SPL",2.11.11,Heitlinger 2016 Spleen
1.11.12,"E1 dpi 3,5,7,9,11 MLN",2.11.12,Heitlinger 2016 jejunu JEWE
1.12.1,NA,2.12.1,SICE AA_0524-0604
1.12.2,NA,2.12.2,SICE AA_0605-0685
1.12.3,NA,2.12.3,CECE AA_0524-0604
1.12.4,NA,2.12.4,CECE AA_0605-0685
1.12.5,NA,2.12.5,FEC AA_0605-0685
1.12.6,NA,2.12.6,FEC AA_0524-0604
1.12.7,NA,2.12.7,09/17 mini 0469-0471
1.12.8,NA,2.12.8,HZ18 Czech samples
1.12.9,NA,2.12.9,"Microbiome 2a, 2b"
1.12.10,NA,2.12.10,Microbiome 2b dpi 7
1.12.11,NA,2.12.11,Microbiome ???
1.12.12,NA,2.12.12,Microbiome ???
1.13.1,NA,2.13.1,HZ17 COCE1 1/4
1.13.2,NA,2.13.2,HZ17 COCE1 2/4
1.13.3,NA,2.13.3,HZ17 COCE1 ¾
1.13.4,NA,2.13.4,HZ17 COCE1 4/4
1.13.5,NA,2.13.5,HZ17 COCE2 1/3
1.13.6,NA,2.13.6,HZ17 COCE 2 2/3
1.13.7,NA,2.13.7,HZ17 COCE 2 3/3
1.13.8,NA,2.13.8,unlabeled
1.13.9,NA,2.13.9,CECE leftwover
1.13.10,NA,2.13.10,Pet musculusall samples AA_0483-0488
1.13.11,NA,2.13.11,unlabeled HZ
1.13.12,NA,2.13.12,SICE HZ19
1.14.1,NA,2.14.1,"Yasmin Crypto ILWE, CEWE, COCE, dpi25"
1.14.2,NA,2.14.2,"Mert ILWE, HZ16 DNA AA_0048-0129"
1.14.3,NA,2.14.3,"Mert ILWE, HZ16 DNA AA_0130-0211"
1.14.4,NA,2.14.4,MES Emanuel 1
1.14.5,NA,2.14.5,unlabeled randomized 2 letter codes
1.14.6,NA,2.14.6,ILWE ZZ_0001-0071
1.14.7,NA,2.14.7,CEWE ZZ_0001-0071
1.14.8,NA,2.14.8,COCE ZZ_0001-0071
1.14.9,NA,2.14.9,SICE ZZ_0001-0071
1.14.10,NA,2.14.10,SPL ZZ_0001-0071
1.14.11,NA,2.14.11,COWE ZZ_0001-0071
1.14.12,NA,2.14.12,CECE ZZ_0001-0071
1.15.1,NA,2.15.1,ILWE other rodents Tabea
1.15.2,NA,2.15.2,DNA other rodents Tabea 2017 ZZ_0001-
1.15.3,NA,2.15.3,DNA other rodents CEWE 20ng ZZ_0001-0074
1.15.4,NA,2.15.4,unalbeled LM ~120
1.15.5,NA,2.15.5,DNA COWE other rodents Tabea 50ng
1.15.6,NA,2.15.6,DNA extraction ILWE other rodents Tabea
1.15.7,NA,2.15.7,DNA other rodents ILWE Tabea (illegible)
1.15.8,NA,2.15.8,DNA extraction CEWE other rodents Tabea
1.15.9,NA,2.15.9,DNA ILWE 50ng Tabea other rodents
1.15.10,NA,2.15.10,DNA extraction COCE other rodents Tabea
1.15.11,NA,2.15.11,empty
1.15.12,NA,2.15.12,empty
1.16.1,NA,2.16.1,NA
1.16.2,NA,2.16.2,NA
1.16.3,NA,2.16.3,NA
1.16.4,NA,2.16.4,NA
1.16.5,NA,2.16.5,NA
1.16.6,NA,2.16.6,NA
1.16.7,NA,2.16.7,NA
1.16.8,NA,2.16.8,P3_112019_Eim_Cyt
1.16.9,NA,2.16.9,NA
1.16.10,NA,2.16.10,NA
1.16.11,NA,2.16.11,P3b_112019_Eim_Cyt
1.16.12,NA,2.16.12,empty
1.17.1,"E7b dpi 7,8 ferrisi + dpi 8 falciformis",2.17.1,PCR products Ap5_BER_Samples SK2806-2935
1.17.2,"E7b dpi 5,6,7 ferrisi",2.17.2,ILWE SKK2950-3049
1.17.3,"E7b dpi 5,6,7 falciformis",2.17.3,Primers Emanuel COWE SK3010-3068
1.17.4,E7b dpi 8 ferrisi,2.17.4,ILWE SK3050-30(illegible)
1.17.5,E7b dpi 8 falciformis,2.17.5,"COWE SK2950-3009, ILWE SK3061+2988"
1.17.6,"E7b dpi 8 falciformis, dissection S1, S2, CO",2.17.6,empty
1.17.7,"E7b dpi 8 ferrisi, dissection S1, S2, CO",2.17.7,2016 COCE
1.17.8,E7 RNA CEWE,2.17.8,2016 CEWE
1.17.9,HZ19 FEC,2.17.9,2016 MES + Embryos
1.17.10,HZ16-17 RNA CEWE,2.17.10,"2016 JECE, ILCE, DUCE, SICE"
1.17.11,E1 RNA CEWE,2.17.11,2016 CECE
1.17.12,"E1 Lysates CEWE dpi 3,5,7,9,11",2.17.12,"inf exp 14.05.18, Alice/Victor/Vivian SPL,CEWE,CECE, MES"
1.18.1,E1 31-75 FEC,,
1.18.2,E1 IgA FEC,,
1.18.3,E1 IgA,,
1.18.4,E1 IgA FEC,,
1.18.5,NA,,
1.18.6,NA,,
1.18.7,NA,,
1.18.8,NA,,
1.18.9,NA,,
1.18.10,NA,,
1.18.11,NA,,
1.18.12,NA,,
1.19.1,NA,,
1.19.2,NA,,
1.19.3,NA,,
1.19.4,NA,,
1.19.5,NA,,
1.19.6,NA,,
1.19.7,NA,,
1.19.8,NA,,
1.19.9,NA,,
1.19.10,NA,,
1.19.11,NA,,
1.19.12,NA,,
1.20.1,NA,,
1.20.2,NA,,
1.20.3,NA,,
1.20.4,NA,,
1.20.5,NA,,
1.20.6,NA,,
1.20.7,NA,,
1.20.8,NA,,
1.20.9,NA,,
1.20.10,NA,,
1.20.11,NA,,
1.20.12,NA,,
1.21.1,NA,,
1.21.2,NA,,
1.21.3,NA,,
1.21.4,NA,,
1.21.5,NA,,
1.21.6,NA,,
1.21.7,NA,,
1.21.8,NA,,
1.21.9,NA,,
1.21.10,NA,,
1.21.11,NA,,
1.21.12,NA,,
